timestamp,temperature,soil_ph,soil_moisture,npk_n,npk_p,npk_k,rainfall
2025-01-01T06:00:00Z,28.99,6.57,71.63,68.8,18.81,177.02,9.89
2025-01-01T07:17:35Z,28.63,6.43,62.93,65.54,21.74,192.09,18.46
2025-01-01T09:25:40Z,17.07,6.48,72.41,38.15,15.68,128.42,16.25
2025-01-01T11:21:36Z,15.5,6.08,54.03,31.22,23.24,154.54,11.7
2025-01-01T13:12:40Z,21.0,6.58,60.1,56.72,34.66,182.95,26.86
2025-01-01T15:00:21Z,23.35,6.84,63.44,65.03,27.93,113.29,18.02
2025-01-01T16:07:34Z,25.77,6.16,60.48,38.05,7.57,44.18,13.47
2025-01-01T18:32:20Z,22.24,6.52,68.02,95.71,29.05,128.64,13.26
2025-01-01T19:38:11Z,14.51,6.82,50.88,33.6,22.57,152.63,10.4
2025-01-01T21:52:40Z,24.18,6.78,60.15,71.03,23.51,101.27,15.99
2025-01-01T23:17:36Z,25.86,6.5,76.63,72.92,28.09,188.31,11.57
2025-01-02T01:32:50Z,15.5,6.54,59.74,24.57,16.03,283.53,14.27
2025-01-02T03:17:13Z,28.65,7.18,69.07,78.33,36.13,148.58,11.48
2025-01-02T05:00:38Z,24.83,6.55,66.84,50.21,25.12,170.83,11.31
2025-01-02T06:07:23Z,27.09,6.75,60.89,75.61,35.09,151.33,12.16
2025-01-02T08:26:52Z,26.82,5.71,82.62,42.65,20.59,124.92,11.07
2025-01-02T10:18:24Z,17.01,6.79,79.01,38.18,14.57,115.12,18.99
2025-01-02T11:22:45Z,12.46,6.48,75.87,31.62,16.74,104.52,19.84
2025-01-02T13:35:33Z,25.0,6.07,63.12,55.98,39.26,181.59,13.48
2025-01-02T14:53:27Z,26.72,6.05,62.14,35.38,5.31,74.64,11.84
2025-01-02T17:24:17Z,21.54,6.85,61.4,71.15,38.24,119.49,16.06
2025-01-02T18:29:23Z,16.01,5.7,79.41,24.49,18.31,109.33,15.6
2025-01-02T20:53:53Z,23.94,7.32,60.09,71.0,31.78,110.14,13.47
2025-01-02T21:59:35Z,21.86,6.25,71.79,31.78,13.73,110.69,18.94
2025-01-02T23:55:17Z,26.85,6.62,68.03,78.15,22.0,103.5,12.88
2025-01-03T01:18:35Z,27.62,6.0,66.67,20.23,11.6,57.7,10.5
2025-01-03T03:38:21Z,13.95,6.12,57.12,20.81,17.31,184.18,10.99
2025-01-03T05:18:46Z,26.41,6.02,77.53,97.85,28.18,198.24,13.88
2025-01-03T06:53:34Z,18.16,7.37,55.72,22.32,26.22,276.57,13.88
2025-01-03T08:22:06Z,26.03,7.31,67.27,62.02,35.32,130.55,14.48
2025-01-03T10:08:36Z,25.51,5.54,74.87,59.0,34.51,184.9,16.96
2025-01-03T11:56:16Z,25.02,5.92,66.16,38.01,14.5,67.55,8.52
2025-01-03T13:37:17Z,24.28,5.99,81.03,41.98,38.95,173.68,14.12
2025-01-03T16:05:34Z,27.35,7.48,64.16,45.06,20.98,151.03,12.21
2025-01-03T17:08:07Z,25.8,6.99,67.54,47.23,32.82,111.17,18.74
2025-01-03T19:17:25Z,14.29,6.07,71.37,32.47,15.8,110.53,10.46
2025-01-03T20:51:29Z,15.39,6.7,50.98,26.88,19.33,249.95,13.7
2025-01-03T23:11:49Z,26.04,5.7,64.32,28.46,7.91,51.63,15.14
2025-01-04T00:13:17Z,10.54,6.08,51.75,29.61,28.0,254.6,19.42
2025-01-04T02:10:59Z,24.72,6.47,76.38,39.31,30.03,140.93,8.02
2025-01-04T04:26:09Z,27.98,6.2,69.45,66.6,32.75,170.0,11.82
2025-01-04T05:24:22Z,22.31,6.99,68.36,64.23,29.74,110.44,9.86
2025-01-04T07:07:59Z,27.52,5.58,61.45,24.66,12.51,77.59,18.9
2025-01-04T08:47:11Z,21.46,5.66,60.25,38.56,12.55,44.54,6.77
2025-01-04T11:29:44Z,27.65,6.11,62.54,73.31,31.81,122.07,17.59
2025-01-04T12:39:03Z,22.14,6.51,68.53,63.68,21.53,171.77,18.3
2025-01-04T14:26:03Z,21.46,6.23,60.31,57.06,35.75,122.0,21.85
2025-01-04T16:04:59Z,24.89,5.74,61.97,85.34,34.21,104.92,7.43
2025-01-04T18:31:41Z,28.85,6.24,67.6,98.98,24.22,151.71,13.33
2025-01-04T19:40:08Z,26.12,6.02,66.37,69.7,26.36,190.79,9.79
2025-01-04T21:14:17Z,28.44,5.69,60.6,76.91,30.08,123.53,16.9
2025-01-04T23:17:59Z,28.8,7.28,69.28,44.01,34.83,199.74,16.49
2025-01-05T00:50:25Z,21.54,6.53,61.03,57.59,36.87,108.01,16.9
2025-01-05T02:49:32Z,12.15,6.42,78.94,38.94,10.6,147.0,8.29
2025-01-05T04:56:32Z,19.68,6.55,55.73,27.89,16.06,185.58,6.14
2025-01-05T05:58:21Z,22.82,6.35,78.36,32.74,13.97,133.61,17.72
2025-01-05T07:39:43Z,26.34,7.2,68.93,65.17,32.24,167.3,18.13
2025-01-05T10:14:41Z,28.45,6.77,65.39,90.02,34.12,126.07,18.57
2025-01-05T11:12:57Z,25.29,5.99,62.99,84.94,36.52,117.45,20.86
2025-01-05T13:20:04Z,24.31,6.4,68.8,61.5,22.44,156.36,19.16
2025-01-05T15:26:55Z,22.61,6.95,60.89,40.72,30.93,178.9,9.68
2025-01-05T16:58:54Z,24.46,6.04,63.18,62.84,39.83,109.57,11.83
2025-01-05T18:28:08Z,27.81,6.48,79.86,54.71,26.58,160.91,14.71
2025-01-05T20:46:09Z,23.14,6.58,74.1,72.86,24.58,172.97,8.13
2025-01-05T22:19:01Z,27.38,6.41,68.2,73.53,35.42,114.68,18.5
2025-01-05T23:26:15Z,21.56,6.11,64.46,44.25,30.7,142.0,9.15
2025-01-06T01:35:20Z,27.28,6.2,60.35,27.88,11.84,42.81,15.36
2025-01-06T03:15:28Z,18.49,7.14,56.26,23.48,22.27,295.25,12.65
2025-01-06T05:02:31Z,16.71,6.08,75.91,50.65,16.74,146.5,16.66
2025-01-06T06:38:56Z,17.25,6.31,79.82,53.13,15.66,130.74,14.52
2025-01-06T08:03:21Z,26.94,6.76,74.98,75.41,29.2,197.7,11.88
2025-01-06T10:39:56Z,27.79,5.58,63.61,20.43,13.11,44.59,7.71
2025-01-06T12:23:20Z,27.35,5.85,63.77,65.17,23.84,114.85,8.94
2025-01-06T14:03:20Z,26.35,6.43,69.61,96.89,23.8,185.74,11.17
2025-01-06T16:02:15Z,20.37,5.98,67.18,44.6,20.3,169.43,10.99
2025-01-06T17:35:31Z,29.02,6.25,63.37,56.86,35.82,164.99,17.83
2025-01-06T19:14:56Z,22.02,5.83,63.86,79.28,39.54,171.23,18.58
2025-01-06T20:34:44Z,27.34,6.37,67.91,70.43,38.33,146.2,17.0
2025-01-06T22:35:41Z,28.61,5.86,76.4,44.26,27.81,187.1,10.14
2025-01-07T00:14:06Z,21.2,6.47,73.38,71.23,19.53,153.7,18.57
2025-01-07T01:43:00Z,25.14,6.36,64.64,70.19,20.37,153.66,16.29
2025-01-07T03:59:44Z,25.76,5.69,65.82,23.22,14.3,58.57,9.14
2025-01-07T05:06:40Z,28.97,5.57,63.9,54.35,28.71,172.56,22.99
2025-01-07T07:22:29Z,25.54,6.22,67.24,50.33,29.4,112.79,14.23
2025-01-07T09:30:57Z,24.8,6.15,67.23,39.44,7.06,69.48,8.87
2025-01-07T10:29:20Z,27.18,6.55,75.73,72.2,21.18,171.51,14.45
2025-01-07T12:08:11Z,21.8,5.97,62.45,51.89,21.08,169.2,13.57
2025-01-07T14:10:42Z,19.46,6.13,54.25,27.08,15.82,235.1,9.97
2025-01-07T15:52:09Z,27.55,6.35,76.76,62.95,19.14,185.87,16.28
2025-01-07T18:02:07Z,28.23,6.18,78.1,51.35,20.47,199.42,14.43
2025-01-07T19:29:04Z,15.28,6.34,76.07,51.42,19.75,132.34,11.1
2025-01-07T21:19:36Z,22.34,6.98,68.46,44.8,24.32,111.32,15.23
2025-01-07T23:03:37Z,23.62,6.08,77.23,97.49,20.21,179.57,14.94
2025-01-08T01:16:48Z,26.82,5.54,63.69,26.77,14.47,77.71,9.29
2025-01-08T02:37:24Z,27.43,6.34,60.25,40.9,21.87,191.6,11.54
2025-01-08T04:22:22Z,10.18,7.02,51.12,27.33,15.01,232.12,14.12
2025-01-08T06:24:19Z,19.2,6.13,63.06,49.39,37.07,186.66,12.39
2025-01-08T07:46:37Z,24.86,5.75,62.78,22.7,13.4,53.3,11.92
2025-01-08T09:05:57Z,17.92,6.06,75.93,23.05,16.5,117.41,13.39
2025-01-08T10:54:45Z,29.18,5.88,69.0,90.26,20.24,105.84,13.44
2025-01-08T13:27:39Z,16.5,6.16,67.47,70.81,32.49,191.54,9.01
2025-01-08T14:39:25Z,23.57,6.12,79.36,93.94,29.2,195.16,10.05
2025-01-08T16:38:22Z,19.22,7.4,54.93,36.79,29.78,271.24,8.02
2025-01-08T18:19:50Z,27.74,6.15,63.79,69.45,32.41,150.54,11.21
2025-01-08T19:57:00Z,20.73,6.37,68.28,31.94,12.19,73.67,12.58
2025-01-08T21:33:59Z,23.21,6.64,76.12,98.81,24.4,183.02,14.48
2025-01-09T00:01:26Z,26.47,6.41,66.47,88.59,21.96,176.03,8.45
2025-01-09T01:31:09Z,16.58,6.57,74.2,40.89,17.94,143.53,14.84
2025-01-09T03:14:50Z,24.75,6.71,65.09,42.75,35.36,197.07,7.59
2025-01-09T05:07:47Z,21.63,6.66,72.49,35.13,17.9,103.36,14.37
2025-01-09T06:34:50Z,27.04,6.37,69.3,75.85,35.13,117.58,18.5
2025-01-09T08:04:07Z,27.41,6.41,74.35,56.82,27.2,108.75,17.84
2025-01-09T09:34:09Z,28.11,6.4,60.19,54.47,32.63,171.62,9.28
2025-01-09T12:13:40Z,12.0,6.06,76.21,51.3,12.49,147.57,19.73
2025-01-09T13:24:01Z,24.78,5.81,67.86,33.75,10.25,43.54,9.67
2025-01-09T14:56:23Z,21.48,6.53,66.96,48.93,26.05,160.13,12.24
2025-01-09T16:37:17Z,13.4,7.32,51.03,28.31,28.95,290.22,17.11
2025-01-09T19:15:18Z,25.76,5.59,62.12,91.05,37.91,116.09,10.56
2025-01-09T20:53:10Z,25.48,5.72,60.79,24.04,13.17,65.86,13.19
2025-01-09T22:06:38Z,24.5,6.67,75.59,69.64,23.3,188.51,9.27
2025-01-10T00:16:01Z,17.05,6.31,76.89,35.19,12.09,126.48,13.98
2025-01-10T02:17:31Z,23.96,6.28,73.04,57.76,36.42,165.74,15.22
2025-01-10T03:31:12Z,27.51,6.27,72.64,84.28,15.23,185.99,14.91
2025-01-10T05:02:25Z,18.15,6.18,72.11,38.75,13.48,107.89,20.58
2025-01-10T07:23:22Z,25.78,6.76,60.61,96.31,27.92,189.85,9.78
2025-01-10T08:22:40Z,23.85,6.84,65.95,56.4,23.89,181.37,19.03
2025-01-10T10:47:45Z,22.69,6.15,65.84,78.53,25.4,183.37,16.09
2025-01-10T12:42:16Z,29.91,6.06,67.0,74.75,39.46,131.5,8.77
2025-01-10T14:05:21Z,13.84,7.24,54.0,26.14,18.89,293.95,8.17
2025-01-10T15:54:03Z,26.41,7.03,65.45,40.63,29.56,163.17,14.72
2025-01-10T17:13:51Z,24.59,6.43,67.83,61.74,26.61,113.01,13.67
2025-01-10T19:39:57Z,12.79,6.48,65.16,72.49,24.74,157.02,13.22
2025-01-10T20:38:03Z,21.09,7.19,56.68,31.94,22.15,195.98,9.29
2025-01-10T22:59:43Z,24.45,6.07,62.94,57.34,27.54,187.72,11.91
2025-01-11T00:37:47Z,28.63,5.87,79.41,44.75,20.18,119.51,19.38
2025-01-11T02:01:56Z,22.07,6.79,65.51,57.25,35.89,196.69,10.06
2025-01-11T04:22:06Z,25.47,5.97,76.95,55.76,35.75,150.88,7.57
2025-01-11T05:28:40Z,28.28,5.92,61.48,50.46,29.62,195.94,10.18
2025-01-11T07:12:02Z,21.8,5.54,61.42,27.69,6.43,49.73,9.14
2025-01-11T09:11:58Z,21.96,6.6,62.46,57.58,31.18,142.18,16.72
2025-01-11T11:09:26Z,19.75,6.49,71.72,30.72,15.96,148.22,16.27
2025-01-11T13:01:38Z,16.59,5.65,74.98,30.23,15.0,117.73,10.43
2025-01-11T14:52:22Z,24.58,6.2,67.34,59.05,26.78,183.92,13.48
2025-01-11T16:13:32Z,10.58,7.4,52.09,22.42,25.74,185.81,10.07
2025-01-11T17:55:15Z,15.1,6.1,72.99,36.89,13.6,144.89,11.2
2025-01-11T19:48:23Z,22.96,6.23,69.9,86.87,25.16,173.16,13.85
2025-01-11T21:46:22Z,22.28,5.59,66.86,37.05,9.14,77.63,11.19
2025-01-11T23:10:41Z,22.98,6.21,76.23,64.27,16.44,163.55,6.96
2025-01-12T01:32:52Z,23.21,6.37,69.48,33.51,12.2,74.88,10.8
2025-01-12T03:08:56Z,27.5,6.26,72.01,58.78,21.54,189.86,5.68
2025-01-12T04:55:42Z,24.24,6.32,73.32,53.41,24.71,112.81,18.28
2025-01-12T06:04:08Z,22.24,7.01,67.44,47.14,26.24,155.89,10.95
2025-01-12T07:49:46Z,19.01,6.16,79.99,37.26,13.84,131.92,10.82
2025-01-12T09:44:04Z,27.44,6.26,86.13,42.94,32.44,130.35,10.85
2025-01-12T11:51:26Z,25.99,6.42,72.89,41.05,33.62,116.86,17.32
2025-01-12T13:02:42Z,23.89,7.33,62.1,76.24,39.32,178.74,17.75
2025-01-12T15:09:59Z,15.85,6.36,72.12,21.12,13.15,134.59,7.73
2025-01-12T17:09:08Z,23.15,5.66,72.56,21.96,18.9,134.86,11.67
2025-01-12T18:13:33Z,16.5,6.37,63.07,60.66,25.41,169.96,13.49
2025-01-12T20:30:30Z,22.74,7.12,61.82,60.42,30.09,115.39,8.09
2025-01-12T22:14:42Z,19.3,6.69,72.78,37.52,13.18,118.9,18.96
2025-01-13T00:06:48Z,22.98,6.34,78.06,99.45,19.67,164.29,10.89
2025-01-13T01:56:52Z,14.13,6.14,51.78,37.3,26.35,167.93,16.87
2025-01-13T03:50:46Z,23.11,6.14,69.59,66.07,28.68,167.1,10.07
2025-01-13T05:33:44Z,23.07,6.44,70.9,62.91,27.51,167.0,12.51
2025-01-13T06:28:12Z,25.69,6.0,63.49,42.55,24.39,147.57,13.36
2025-01-13T08:07:41Z,10.86,6.86,57.81,27.32,18.18,279.53,12.12
2025-01-13T09:54:51Z,21.44,6.82,64.49,58.64,22.62,142.96,13.95
2025-01-13T11:49:40Z,29.36,6.65,73.47,77.94,23.73,183.63,12.33
2025-01-13T13:40:38Z,27.72,6.21,63.1,61.29,21.82,150.47,19.9
2025-01-13T15:52:46Z,24.08,6.09,60.6,74.34,34.95,154.26,13.04
2025-01-13T17:38:17Z,25.46,6.16,63.27,44.56,39.44,136.62,20.56
2025-01-13T19:29:43Z,24.42,5.61,88.36,57.27,22.33,187.56,11.23
2025-01-13T20:23:25Z,26.75,6.01,68.85,28.38,6.06,70.09,19.36
2025-01-13T22:30:44Z,27.22,5.9,78.72,44.19,21.74,140.32,13.78
2025-01-14T00:50:33Z,15.89,6.75,78.29,49.1,17.57,119.89,11.32
2025-01-14T02:22:26Z,18.42,7.49,53.39,27.2,20.95,208.73,12.47
2025-01-14T04:12:02Z,17.84,6.72,58.13,27.11,28.08,165.67,5.21
2025-01-14T05:50:34Z,22.72,6.22,65.42,67.77,26.84,138.79,10.32
2025-01-14T07:44:58Z,18.43,6.22,78.65,28.68,15.18,148.74,11.9
2025-01-14T09:30:51Z,15.27,6.45,53.55,27.68,22.01,260.77,13.95
2025-01-14T11:06:51Z,29.61,6.48,66.42,34.27,11.69,64.72,9.92
2025-01-14T12:09:45Z,19.03,6.23,76.79,20.4,11.84,113.83,16.43
2025-01-14T14:45:23Z,25.52,6.31,63.98,96.09,32.7,187.17,11.26
2025-01-14T16:23:23Z,25.2,6.76,78.15,89.36,28.57,180.09,11.09
2025-01-14T17:22:32Z,11.88,6.91,60.63,46.22,25.01,141.5,17.54
2025-01-14T19:57:27Z,28.86,6.08,72.1,81.76,19.54,167.24,12.94
2025-01-14T21:45:01Z,23.41,5.59,76.38,34.0,17.33,107.06,18.4
2025-01-14T23:35:30Z,26.98,7.08,66.95,50.8,26.13,150.42,18.0
2025-01-15T01:05:03Z,29.95,6.45,62.1,34.61,12.9,79.0,7.59
2025-01-15T02:54:56Z,21.14,5.74,68.04,38.24,14.14,56.08,11.96
2025-01-15T04:32:02Z,24.99,5.83,64.64,72.25,39.36,147.79,9.31
2025-01-15T06:14:12Z,13.53,6.58,59.48,21.16,25.75,219.16,12.71
2025-01-15T08:11:25Z,29.65,6.3,61.9,30.46,5.41,43.56,10.34
2025-01-15T09:20:11Z,25.01,6.94,68.89,41.63,33.39,110.16,12.23
